date,lat,lon,precipitation,temp,tmax,tmin,solar_radiation,wind_speed,wind_direction,geometry,day_length_hours,admin_center,sea_border,mountain_border
1995-01-01 00:00:00,44.6,38.3,18.158067,6.3508606,7.273407,5.483612,1114473.8,5.725473,183.35031,POINT (38.3 44.6),8.63,Абинск,No sea,1
1995-01-01 00:00:00,44.6,38.4,18.483881,6.1688843,7.058563,5.4093933,1065007.0,5.9168344,183.78326,POINT (38.4 44.6),8.63,Абинск,No sea,1
1995-01-01 00:00:00,44.7,38.0,14.895755,7.1497803,8.1138,5.7707214,2020211.95,6.08073,186.59811,POINT (38 44.7),8.63,Абинск,No sea,1
1995-01-01 00:00:00,44.7,38.1,14.65683,6.9139404,7.912079,5.59494,1549324.1,5.82301,186.85516,POINT (38.1 44.7),8.63,Абинск,No sea,1
